"source","target"
"104","104"
"104","2735"
"104","5166"
"93","2991"
"93","5037"
"83","40"
"74","83"
"33","83"
"33","40"
"90","5407"
"41","5840"
"81","8169"
"81","5133"
"81","4328"
"81","5037"
"78","74"
"50","5037"
"75","5864"
"34","5440"
"34","74"
"44","74"
"67","8169"
"67","34"
"67","6489"
"67","1292"
"67","5037"
"67","5864"
"67","6381"
"80","1681"
"57","40"
"112","454"
"122","667"
"122","4244"
"122","740"
"122","487"
"122","122"
"122","495"
"122","2522"
"123","51"
"123","9959"
"221","9964"
"125","4898"
"125","2012"
"126","373"
"126","2083"
"118","67"
"118","1073"
"130","443"
"132","362"
"132","1664"
"132","357"
"115","42"
"174","1221"
"176","2371"
"176","4336"
"182","326"
"196","800"
"199","2579"
"199","800"
"200","1958"
"138","512"
"140","535"
"143","2021"
"143","4254"
"155","527"
"281","660"
"281","1176"
"281","4726"
"284","8118"
"284","8118"
"284","324"
"302","1062"
"241","9979"
"262","9964"
"299","4597"
"242","122"
"242","2733"
"285","3215"
"285","1155"
"264","9964"
"307","940"
"267","2637"
"345","1607"
"345","4174"
"396","4274"
"396","1082"
"396","2637"
"357","357"
"360","1649"
"364","357"
"385","5037"
"367","2937"
"369","331"
"371","9984"
"372","688"
"377","2053"
"386","4946"
"387","146"
"387","2175"
"387","196"
"387","2271"
"387","2213"
"387","2154"
"387","2176"
"388","4366"
"388","4334"
"388","372"
"388","1694"
"389","4914"
"389","554"
"392","4799"
"392","1702"
"392","2093"
"392","1681"
"393","8144"
"397","2292"
"397","2292"
"397","2302"
"398","2133"
"405","2292"
"405","2292"
"405","659"
"408","2115"
"408","8745"
"409","2417"
"409","1843"
"409","2371"
"409","2230"
"409","4333"
"409","678"
"413","593"
"413","1698"
"418","789"
"418","2241"
"419","6676"
"419","2280"
"420","4321"
"421","6179"
"424","736"
"425","2079"
"425","1585"
"431","2739"
"431","443"
"433","761"
"433","2292"
"438","676"
"441","646"
"441","646"
"443","2739"
"443","629"
"447","5720"
"447","2341"
"448","196"
"544","1578"
"545","9978"
"545","9983"
"547","63"
"548","672"
"548","4328"
"550","550"
"550","1556"
"551","672"
"557","337"
"557","9959"
"562","4328"
"451","1814"
"474","4254"
"490","9984"
"503","2019"
"507","108"
"518","8065"
"531","2027"
"566","1599"
"566","126"
"567","4799"
"571","2393"
"571","2470"
"571","6682"
"572","4286"
"572","2179"
"573","5013"
"577","2295"
"582","593"
"589","2196"
"596","1395"
"596","596"
"600","4899"
"600","682"
"601","4899"
"606","4814"
"606","729"
"608","682"
"611","4334"
"611","2345"
"612","2393"
"612","2336"
"613","4825"
"614","2807"
"615","2295"
"617","2437"
"617","3728"
"619","2295"
"619","2043"
"619","4345"
"619","5009"
"621","638"
"621","4327"
"622","633"
"623","757"
"623","327"
"623","6763"
"625","2739"
"625","646"
"627","688"
"628","2406"
"632","1959"
"634","8647"
"639","758"
"639","8087"
"639","729"
"640","2345"
"641","757"
"641","4338"
"641","765"
"642","146"
"642","196"
"642","800"
"643","785"
"648","688"
"648","730"
"650","6763"
"652","1958"
"652","2371"
"652","200"
"652","1585"
"653","2424"
"653","186"
"653","2381"
"656","2365"
"658","670"
"667","2459"
"668","191"
"671","4334"
"671","2576"
"675","184"
"675","2495"
"675","186"
"675","2374"
"675","2482"
"676","2524"
"677","1574"
"677","1929"
"678","196"
"682","2807"
"682","757"
"687","738"
"688","2502"
"692","1554"
"693","2503"
"693","2546"
"693","765"
"693","1585"
"701","196"
"701","800"
"703","2813"
"703","2495"
"703","2579"
"703","753"
"707","730"
"710","1612"
"712","191"
"717","2499"
"718","811"
"718","1939"
"725","775"
"725","2555"
"725","776"
"727","715"
"727","2516"
"732","760"
"732","2503"
"732","2518"
"734","495"
"737","1959"
"737","1958"
"741","8065"
"744","1221"
"749","749"
"753","2813"
"753","1943"
"753","769"
"753","2532"
"753","772"
"753","461"
"754","495"
"756","760"
"763","1943"
"763","461"
"765","461"
"768","811"
"772","205"
"785","1980"
"789","462"
"867","1607"
"867","4174"
"870","870"
"881","3134"
"864","871"
"793","455"
"793","814"
"796","796"
"809","1959"
"811","2813"
"814","141"
"814","467"
"822","487"
"937","1578"
"939","4997"
"1012","5407"
"949","9908"
"952","5037"
"909","3584"
"953","1560"
"968","8547"
"970","1052"
"955","2637"
"915","416"
"915","1879"
"982","272"
"1070","2436"
"1070","8129"
"1039","8178"
"1073","1578"
"1073","940"
"1023","4634"
"1024","4634"
"1025","4654"
"1082","396"
"1082","421"
"1082","2637"
"1082","5037"
"1026","1031"
"1064","263"
"1077","1031"
"1077","2887"
"1078","8184"
"1092","2327"
"1092","1578"
"1093","253"
"1095","2059"
"1095","172"
"1097","4995"
"1099","2502"
"1101","196"
"1103","2516"
"1105","2368"
"1087","1979"
"1087","146"
"1174","1254"
"1152","324"
"1156","671"
"1226","6571"
"1200","5307"
"1228","1265"
"1134","1578"
"1141","692"
"1142","2576"
"1142","4327"
"1262","1263"
"1267","1610"
"1274","8128"
"1275","1028"
"1278","122"
"1280","9984"
"1281","9964"
"1281","9315"
"1282","4928"
"1298","2368"
"1300","3170"
"1320","4799"
"1320","2062"
"1322","1578"
"1324","4946"
"1327","3267"
"1327","5295"
"1331","5138"
"1342","965"
"1342","357"
"1342","357"
"1342","358"
"1349","2268"
"1390","3288"
"1390","1663"
"1391","1653"
"1391","4946"
"1392","4288"
"1369","2215"
"1406","6152"
"1406","6113"
"1523","2879"
"1523","4634"
"1523","1024"
"1502","5266"
"1502","3232"
"1524","4635"
"1533","3400"
"1504","5725"
"1605","2942"
"1607","4174"
"1609","1254"
"1609","4900"
"1613","4933"
"1615","4950"
"1616","2980"
"1618","4997"
"1626","1683"
"1626","1626"
"1632","4997"
"1635","3134"
"1642","4468"
"1642","4825"
"1647","357"
"1653","1649"
"1659","3845"
"1659","3047"
"1659","8760"
"1660","1647"
"1663","2973"
"1664","358"
"1679","9984"
"1680","1680"
"1681","1678"
"1683","2504"
"1683","747"
"1684","769"
"1684","2495"
"1684","1959"
"1688","1985"
"1753","2937"
"1753","8195"
"1728","8104"
"1728","1728"
"1729","4814"
"1729","2093"
"1692","2059"
"1693","324"
"1694","4334"
"1694","648"
"1694","688"
"1694","4995"
"1694","2295"
"1694","615"
"1695","1252"
"1698","4267"
"1698","672"
"1698","593"
"1699","544"
"1701","2108"
"1701","2246"
"1703","2061"
"1706","4814"
"1706","2275"
"1707","324"
"1708","2997"
"1708","2997"
"1709","3012"
"1709","2643"
"1711","2099"
"1711","2099"
"1712","8085"
"1733","4334"
"1733","2311"
"1733","593"
"1733","1698"
"1736","359"
"1736","5462"
"1737","376"
"1739","344"
"1744","2071"
"1745","1593"
"1746","1594"
"1747","1866"
"1751","5014"
"1751","4825"
"1751","2303"
"1714","2807"
"1758","2071"
"1759","5131"
"1759","6419"
"1760","1760"
"1760","4995"
"1760","2241"
"1761","1578"
"1762","1858"
"1765","4825"
"1769","192"
"1770","4298"
"1770","593"
"1774","443"
"1781","6668"
"1781","2298"
"1781","8616"
"1782","3937"
"1782","6104"
"1783","582"
"1785","8274"
"1789","388"
"1791","443"
"1793","671"
"1793","4274"
"1796","6178"
"1796","2207"
"1796","2345"
"1797","6178"
"1800","4334"
"1800","2269"
"1801","2424"
"1801","4825"
"1801","2303"
"1801","642"
"1801","2079"
"1801","8844"
"1718","1717"
"1803","2278"
"1804","1804"
"1807","4804"
"1810","2368"
"1811","1574"
"1814","2459"
"1815","4825"
"1817","2268"
"1817","2237"
"1817","6682"
"1817","2151"
"1817","4225"
"1818","6597"
"1818","4825"
"1819","191"
"1821","672"
"1823","387"
"1825","1825"
"1829","2146"
"1832","4334"
"1832","2166"
"1832","2269"
"1833","2342"
"1835","1843"
"1835","2292"
"1835","2292"
"1835","2302"
"1836","2080"
"1838","6565"
"1841","1585"
"1843","2292"
"1843","2292"
"1843","659"
"1845","2241"
"1846","1686"
"1846","1846"
"1847","2071"
"1853","2453"
"1858","2807"
"1858","1858"
"1861","2213"
"1862","1585"
"1863","2302"
"1863","761"
"1863","2279"
"1866","2295"
"1868","4311"
"1868","745"
"1868","462"
"1871","692"
"1872","715"
"1875","2237"
"1875","6682"
"1875","63"
"1875","2478"
"1875","495"
"1879","8619"
"1880","620"
"1887","2407"
"1888","2154"
"1889","1800"
"1891","715"
"1892","6461"
"1893","629"
"1896","6178"
"1896","171"
"1896","2345"
"1898","4298"
"1900","2213"
"1901","373"
"1902","5768"
"1907","4366"
"1907","388"
"1909","6178"
"1911","4291"
"1931","497"
"1951","9984"
"1953","2014"
"1955","1955"
"1955","492"
"1959","505"
"1987","4254"
"1995","2020"
"2000","2011"
"2006","2022"
"2006","8065"
"2010","4255"
"2010","109"
"2014","960"
"2036","2085"
"2036","4276"
"2040","2040"
"2041","1221"
"2042","4156"
"2042","1566"
"2045","487"
"2045","495"
"2057","1678"
"2057","2062"
"2057","1681"
"2058","4267"
"2060","1680"
"2062","1678"
"2062","1593"
"2064","623"
"2064","6763"
"2064","429"
"2069","2292"
"2069","761"
"2069","2381"
"2069","2279"
"2072","1686"
"2073","6759"
"2079","2381"
"2082","1678"
"2084","4814"
"2084","2084"
"2085","1681"
"2085","2093"
"2085","2083"
"2087","1674"
"2087","1681"
"2093","4270"
"2093","2083"
"2094","2453"
"2094","4335"
"2094","4281"
"2094","977"
"2094","2414"
"2097","1686"
"2105","870"
"2106","2285"
"2106","2229"
"2114","8131"
"2114","8131"
"2120","4799"
"2121","359"
"2122","2335"
"2122","1694"
"2122","2154"
"2123","396"
"2128","495"
"2132","2292"
"2132","761"
"2132","2279"
"2135","6596"
"2135","191"
"2137","2335"
"2139","646"
"2139","646"
"2142","2295"
"2146","2579"
"2149","2295"
"2149","2237"
"2151","2237"
"2151","6682"
"2153","4274"
"2159","2268"
"2159","2178"
"2161","2246"
"2168","2292"
"2175","4274"
"2176","4321"
"2176","2213"
"2187","75"
"2192","2467"
"2194","2295"
"2194","721"
"2195","359"
"2198","2435"
"2201","2490"
"2201","2201"
"2201","167"
"2202","192"
"2206","2206"
"2211","745"
"2213","2271"
"2217","2226"
"2221","2295"
"2226","649"
"2226","167"
"2228","2342"
"2229","9959"
"2232","2576"
"2240","8647"
"2242","2335"
"2243","760"
"2243","2503"
"2243","1585"
"2245","711"
"2247","2321"
"2247","740"
"2254","745"
"2256","1943"
"2256","2365"
"2258","8087"
"2261","4328"
"2262","2813"
"2262","2393"
"2265","4334"
"2267","2533"
"2268","4334"
"2268","151"
"2269","789"
"2269","2345"
"2274","4334"
"2274","2295"
"2276","2276"
"2278","2400"
"2278","2278"
"2279","2354"
"2281","2345"
"2285","2741"
"2287","2453"
"2287","2424"
"2287","2499"
"2290","4330"
"2290","2499"
"2290","2437"
"2290","479"
"2290","728"
"2291","2430"
"2292","2292"
"2292","761"
"2292","1585"
"2295","2740"
"2296","753"
"2298","8647"
"2298","2435"
"2299","810"
"2303","977"
"2305","1923"
"2305","667"
"2305","2305"
"2305","1683"
"2307","2340"
"2307","2307"
"2307","748"
"2311","4334"
"2312","4334"
"2312","1103"
"2318","2424"
"2321","2321"
"2321","2497"
"2324","4334"
"2325","2400"
"2325","6795"
"2331","191"
"2333","8087"
"2334","4335"
"2336","811"
"2338","721"
"2340","146"
"2340","142"
"2340","2376"
"2340","800"
"2342","2341"
"2345","1959"
"2356","2503"
"2356","4338"
"2357","4338"
"2357","2376"
"2363","1938"
"2364","2364"
"2364","2520"
"2365","2424"
"2365","2393"
"2365","332"
"2370","1544"
"2374","1585"
"2375","2504"
"2375","1683"
"2377","2411"
"2378","2499"
"2381","2424"
"2381","2495"
"2382","2503"
"2384","822"
"2387","1554"
"2387","2387"
"2391","741"
"2393","2576"
"2395","2438"
"2400","6783"
"2400","2400"
"2408","760"
"2408","2518"
"2414","2453"
"2421","2807"
"2421","2558"
"2428","191"
"2430","4244"
"2436","2522"
"2438","742"
"2456","736"
"2456","980"
"2463","2498"
"2463","787"
"2466","489"
"2466","2546"
"2469","2576"
"2476","2508"
"2493","2558"
"2493","812"
"2493","8087"
"2500","495"
"2503","757"
"2518","505"
"2522","8087"
"2526","272"
"2536","810"
"2549","2531"
"2557","1955"
"2557","2586"
"2585","2022"
"2807","1221"
"2807","5095"
"2807","9984"
"2819","1176"
"2914","9267"
"2877","4634"
"2879","4634"
"2891","1031"
"2883","263"
"2888","1031"
"2888","2887"
"2831","4654"
"2889","1031"
"2889","4654"
"2889","263"
"2890","4643"
"2832","74"
"2832","8259"
"2867","4260"
"2868","4950"
"2868","4166"
"2900","1134"
"2952","2952"
"2958","4898"
"2958","1612"
"2958","1683"
"2960","1254"
"2962","4977"
"2964","1254"
"2966","4900"
"2966","2948"
"2970","2969"
"2976","1608"
"2977","4955"
"2979","3044"
"2979","2739"
"2979","327"
"2979","646"
"2997","8129"
"3017","4912"
"3025","4933"
"3033","729"
"851","2733"
"3042","216"
"3043","2739"
"3043","4950"
"3045","2948"
"3057","1556"
"3058","8129"
"3065","9978"
"3067","9073"
"3074","1287"
"3080","1599"
"3083","352"
"3083","554"
"3092","3019"
"3097","4814"
"3097","8144"
"3109","5106"
"3112","5106"
"3116","3117"
"3120","8587"
"3121","5137"
"3121","5138"
"3130","2942"
"3130","3052"
"3134","4171"
"3138","8144"
"3144","3134"
"3144","1635"
"3146","710"
"3146","4898"
"3170","6759"
"3154","3102"
"3154","1626"
"3155","5266"
"3156","977"
"3160","1578"
"3160","2741"
"3172","312"
"3172","356"
"3180","1280"
"3181","1554"
"3181","9953"
"3190","4434"
"3193","671"
"3204","2393"
"3204","2435"
"3213","1265"
"3218","4898"
"3219","487"
"3228","4456"
"3231","3230"
"3239","967"
"3239","338"
"357","358"
"3257","1578"
"3260","1092"
"3260","888"
"3263","5382"
"3267","5295"
"3269","5382"
"3270","2641"
"3270","8144"
"3273","5038"
"3276","1356"
"3287","8259"
"3287","4476"
"3298","8449"
"3309","3309"
"2737","2368"
"3328","8204"
"3328","8207"
"3337","1050"
"3338","2041"
"3358","1741"
"3362","1839"
"3363","593"
"3366","2493"
"3366","729"
"3460","4912"
"3406","4946"
"3421","8144"
"3441","2105"
"3481","2325"
"3378","5761"
"3378","5772"
"3378","1800"
"3382","2105"
"3383","5907"
"3570","2739"
"3570","4174"
"3590","6368"
"3596","8144"
"3491","5563"
"3494","4274"
"3504","8537"
"3504","5968"
"3509","2292"
"3509","2227"
"3509","2159"
"3512","1686"
"3518","6116"
"853","5772"
"853","1800"
"853","1792"
"3543","2303"
"3544","8412"
"3552","6785"
"3604","3239"
"3605","1647"
"3605","1747"
"3605","8537"
"3605","6408"
"3609","3570"
"3609","4174"
"3620","344"
"3625","1095"
"3625","2059"
"3625","172"
"3641","6352"
"3642","8139"
"3642","5013"
"3642","5709"
"3642","5497"
"3642","8274"
"3642","7116"
"3654","5720"
"3671","6709"
"3671","3728"
"3689","7132"
"3694","2237"
"3695","6152"
"3695","2241"
"3695","4235"
"3701","6152"
"3707","2393"
"3709","4330"
"3709","2306"
"3722","736"
"3726","805"
"3728","2437"
"3728","692"
"3737","4914"
"3740","6692"
"4171","1602"
"4185","4920"
"4185","4185"
"4173","4814"
"4173","1687"
"4175","9984"
"4178","1578"
"4178","5037"
"4178","940"
"4187","4468"
"4187","4825"
"4190","4190"
"4258","1737"
"4259","2226"
"4259","2561"
"4259","2215"
"4259","2348"
"4202","810"
"4202","742"
"4274","2335"
"4274","9959"
"4275","4271"
"4203","416"
"4204","2185"
"4204","672"
"4204","2579"
"4207","373"
"4207","2198"
"4207","126"
"4208","2149"
"4215","2453"
"4215","2424"
"4215","8131"
"4215","185"
"4215","2253"
"4215","122"
"4215","2230"
"4215","1933"
"4215","8087"
"4215","359"
"4215","2522"
"4215","729"
"4218","586"
"4220","1831"
"4225","2406"
"4225","2268"
"4225","2151"
"4225","2237"
"4226","2241"
"4228","4228"
"4229","2212"
"4232","2335"
"4233","191"
"4235","2138"
"4235","6614"
"4238","2504"
"4239","2376"
"4278","2995"
"4282","8160"
"4284","2264"
"4285","5015"
"4286","2292"
"4287","1578"
"4290","1578"
"4292","4334"
"4292","672"
"4292","2342"
"4298","1844"
"4299","2285"
"4299","2229"
"4300","4291"
"4301","324"
"4307","4312"
"4311","789"
"4318","4814"
"4318","1599"
"4321","1599"
"4321","2271"
"4326","1959"
"4326","1684"
"4326","2345"
"4327","2576"
"4327","2331"
"4329","2342"
"4330","2469"
"4332","672"
"4334","180"
"4334","2524"
"4335","2532"
"4336","2440"
"4452","4977"
"4452","2959"
"4452","4919"
"4455","1176"
"4466","1246"
"4490","1578"
"4493","9273"
"4596","4597"
"4603","4667"
"4603","1064"
"4600","9076"
"4600","7132"
"4601","5740"
"4526","8547"
"4540","4912"
"4630","5266"
"4634","8647"
"4635","2879"
"4660","5037"
"4660","940"
"4654","263"
"4655","5840"
"4667","1031"
"4667","4654"
"4646","4635"
"4657","3278"
"4657","5906"
"4672","1753"
"4713","4185"
"4664","5740"
"4721","1060"
"4721","4881"
"4721","2927"
"4791","4946"
"4730","4597"
"4733","5037"
"4733","940"
"4735","1578"
"4812","2499"
"4812","4720"
"4813","1593"
"4813","1544"
"4818","1686"
"4819","1678"
"4819","1681"
"4796","2732"
"4798","1678"
"4798","1593"
"4798","1702"
"4799","4281"
"4799","4281"
"4799","1702"
"4801","1593"
"4801","4799"
"4801","1702"
"4801","4270"
"4801","2093"
"4820","4820"
"4820","2495"
"4820","6617"
"4803","8150"
"4804","6682"
"4805","8288"
"4822","819"
"4824","2031"
"4826","6766"
"4921","9949"
"4921","9950"
"4921","9951"
"4921","9952"
"4921","9953"
"4921","9954"
"4921","9955"
"4921","9956"
"4921","9957"
"4921","9958"
"4921","9959"
"4921","9960"
"4921","9961"
"4921","9962"
"4922","9971"
"4922","9972"
"4922","9973"
"4922","9974"
"4922","9975"
"4922","9976"
"4922","9977"
"4922","9978"
"4922","9979"
"4922","9980"
"4922","9981"
"4922","9982"
"4922","9983"
"4922","9984"
"4930","8129"
"4930","1612"
"4932","4900"
"4937","4941"
"4940","4927"
"4945","2969"
"4946","9984"
"4947","1547"
"2739","682"
"2739","757"
"2739","327"
"4848","1578"
"4879","9959"
"4955","4955"
"4955","4893"
"4958","2973"
"4958","344"
"4968","4792"
"2741","1578"
"2741","2342"
"4978","1252"
"4982","2970"
"4991","4251"
"4995","2424"
"4995","688"
"4995","4345"
"5008","2741"
"5010","4161"
"5011","334"
"5011","4161"
"5014","5944"
"5015","8139"
"5015","4825"
"5017","8136"
"5029","3005"
"5034","710"
"5034","2504"
"5034","1612"
"5034","1683"
"5034","627"
"5034","803"
"5037","1578"
"5041","9978"
"5060","1176"
"5060","8154"
"5060","4726"
"5087","5038"
"5091","3044"
"5092","851"
"5092","2733"
"5095","5095"
"5100","2435"
"5104","4631"
"5106","5132"
"5110","1254"
"5110","1602"
"5115","5113"
"5142","5132"
"5142","5106"
"5155","1254"
"5155","9984"
"5161","5100"
"5163","2435"
"5166","104"
"5168","4951"
"5176","1128"
"5178","1128"
"5188","1620"
"5193","8169"
"2735","5166"
"5210","1615"
"5216","8144"
"5219","1252"
"5219","1654"
"5225","1292"
"5231","1686"
"5241","5236"
"5247","5266"
"5247","5138"
"5248","5266"
"5252","4174"
"5259","3134"
"5259","1635"
"5266","8173"
"5270","2967"
"5273","897"
"5281","5193"
"5281","8169"
"5282","9959"
"5307","8136"
"5292","4796"
"5300","5298"
"5300","9127"
"5286","8220"
"5286","5276"
"5315","312"
"5343","3170"
"5352","8216"
"5358","4274"
"5358","4328"
"5358","2154"
"5359","2393"
"5359","2435"
"5359","2075"
"5364","851"
"5364","2733"
"5364","4945"
"5368","5471"
"5368","1724"
"5398","1195"
"5400","5394"
"5411","1724"
"5420","5418"
"5421","5421"
"5427","8169"
"5428","2226"
"5428","1870"
"5435","1578"
"5438","4265"
"5453","3115"
"5459","2114"
"5466","5467"
"5466","5179"
"5467","1578"
"5467","6572"
"5473","3262"
"5473","3336"
"5473","5473"
"5475","5014"
"5485","4274"
"5486","9163"
"5486","2741"
"5494","5379"
"5505","3012"
"5505","9984"
"5506","1050"
"5511","4922"
"5511","9983"
"5512","1923"
"5512","4244"
"5518","1695"
"5518","5267"
"5534","2985"
"5534","1688"
"5535","334"
"5544","6361"
"5561","5467"
"5563","2937"
"5563","8195"
"5563","1753"
"5566","2059"
"5570","2116"
"5583","4639"
"5593","8104"
"5595","4288"
"5611","8514"
"5614","7896"
"5620","5620"
"5625","1560"
"5626","8144"
"5626","4900"
"5640","5267"
"5644","6180"
"5646","9971"
"5646","9974"
"5646","9979"
"5646","9983"
"5646","9984"
"5654","601"
"5654","1578"
"5672","4377"
"5672","8144"
"5674","6361"
"5692","5234"
"5692","8207"
"5693","4328"
"5693","5358"
"5707","5707"
"5709","6388"
"5713","4377"
"5720","146"
"5720","8525"
"5720","4286"
"5720","800"
"5723","4271"
"5724","325"
"5726","4955"
"5727","5014"
"5727","4825"
"5842","1686"
"5844","5038"
"5844","5844"
"5733","8449"
"5734","4377"
"5735","3278"
"5735","5906"
"5740","2053"
"5745","5745"
"5746","8430"
"5748","2655"
"5753","1578"
"5763","6110"
"5763","8159"
"5763","1790"
"5765","2237"
"5766","2285"
"5769","758"
"5769","8087"
"5769","729"
"5771","2079"
"5773","1825"
"5773","2171"
"5774","2365"
"5781","5557"
"5781","2267"
"5784","2417"
"5786","424"
"5788","8370"
"5806","4281"
"5806","6408"
"5806","567"
"5806","6409"
"5808","5267"
"5845","8144"
"5853","3395"
"5856","5300"
"5860","4377"
"5864","1292"
"5864","5037"
"1664","358"
"1664","357"
"5875","196"
"5880","891"
"5892","2061"
"5892","5267"
"5896","6164"
"5897","1252"
"5897","1605"
"5899","8156"
"5909","2061"
"5921","1760"
"5921","8257"
"5925","601"
"5925","1713"
"5925","1578"
"5943","5664"
"5943","5692"
"5953","4260"
"5953","334"
"5953","5953"
"5956","1578"
"5970","871"
"5975","4900"
"5982","9076"
"5985","2053"
"5985","8647"
"6001","4373"
"6002","417"
"6002","495"
"6007","6164"
"5958","8139"
"5958","8160"
"5959","8144"
"5960","2105"
"5962","8206"
"5962","554"
"6012","3065"
"6012","4961"
"6034","8476"
"6039","6106"
"6050","8160"
"6050","4282"
"6050","3466"
"6065","5772"
"6065","688"
"6067","6067"
"6087","6516"
"6101","2268"
"6102","6149"
"6109","2237"
"6109","6682"
"6111","6111"
"6113","6729"
"6119","4433"
"6136","6997"
"6138","5436"
"6154","711"
"6154","2172"
"6157","2365"
"6164","6759"
"6166","6152"
"6178","6715"
"6183","8647"
"6187","6596"
"6187","191"
"6188","334"
"6189","2576"
"6196","4433"
"6196","6195"
"6197","4912"
"6203","838"
"6204","6116"
"6206","1578"
"6207","2424"
"6207","2576"
"6214","4997"
"6217","6164"
"6223","42"
"6223","3535"
"6229","4900"
"6233","5557"
"6235","8302"
"6240","6579"
"6249","2146"
"6250","6036"
"6253","413"
"6254","6178"
"6254","3365"
"6254","6715"
"6255","5455"
"6257","6340"
"6258","5709"
"6258","1663"
"6270","4377"
"6280","3399"
"6280","4265"
"6280","423"
"6280","6406"
"6284","5037"
"6287","6785"
"6326","4995"
"6329","9084"
"6337","3102"
"6339","1739"
"6352","5740"
"6367","6359"
"6369","6368"
"6378","1663"
"6378","5873"
"6380","1020"
"6383","5026"
"6387","8328"
"6297","2637"
"6411","2268"
"6419","6419"
"6422","2967"
"6425","2739"
"6427","6109"
"6438","6388"
"6438","5709"
"6448","6576"
"6448","5479"
"6458","5678"
"6458","5745"
"6459","6112"
"6459","6115"
"6459","6373"
"6461","1800"
"6465","1342"
"6468","1760"
"6468","4226"
"6468","1800"
"6468","4338"
"6468","1828"
"6468","2241"
"6494","682"
"6496","4377"
"6535","2435"
"6537","3185"
"6537","9959"
"6538","6537"
"6539","2073"
"6544","8647"
"6547","1252"
"6558","2146"
"8113","4900"
"8120","2942"
"8120","2949"
"8120","1605"
"8129","3005"
"8130","4977"
"8131","8131"
"8132","4933"
"8132","8170"
"8132","4936"
"8137","2959"
"8137","4933"
"8137","4933"
"8137","1679"
"8138","8128"
"8138","1578"
"8153","1176"
"8156","2742"
"8156","4244"
"8156","2732"
"8157","5066"
"8165","4631"
"8172","4951"
"8172","4997"
"8172","1632"
"8181","5106"
"8182","3045"
"8182","4814"
"8182","8130"
"8191","8136"
"8191","5017"
"8192","351"
"8228","3169"
"8202","5082"
"8205","8144"
"8206","1676"
"8216","8131"
"8216","8131"
"8218","1547"
"8222","2159"
"8229","977"
"8235","9080"
"8235","3117"
"8247","5106"
"8247","3109"
"8255","3019"
"8256","5106"
"8256","3109"
"8256","8247"
"8262","8104"
"8268","9983"
"8268","9984"
"8270","4338"
"8270","2241"
"8277","638"
"8277","600"
"8277","688"
"8277","4995"
"8277","4995"
"8280","5106"
"8280","3109"
"8280","8247"
"8280","8256"
"8290","5455"
"8290","1326"
"8301","3570"
"8307","9959"
"8311","4603"
"8311","2888"
"8319","5369"
"8319","2268"
"8401","2153"
"8401","8290"
"8406","191"
"8406","167"
"8336","1388"
"8338","2071"
"8345","5471"
"8345","1724"
"8347","8207"
"8347","5692"
"8410","2071"
"8410","4814"
"8410","1744"
"8351","2345"
"8356","4377"
"8415","2107"
"8419","2305"
"8364","9112"
"8364","5968"
"8367","649"
"8367","8435"
"8367","1794"
"8372","544"
"8512","6359"
"8513","6366"
"8517","3116"
"8518","5019"
"8520","357"
"8520","358"
"8525","4286"
"8525","1599"
"8525","187"
"8526","8144"
"8537","934"
"8537","5595"
"8537","6409"
"8537","8537"
"8537","4824"
"8537","9112"
"8537","9118"
"8537","4936"
"8537","6409"
"8537","2031"
"8537","3605"
"8432","5455"
"8437","6210"
"8440","6151"
"8440","6759"
"8440","2241"
"8440","6164"
"8448","2499"
"8448","1819"
"8450","3090"
"8456","5805"
"8456","3170"
"8459","4799"
"8462","4433"
"8472","5772"
"8472","2335"
"8472","4338"
"8495","1774"
"8548","2368"
"8552","1759"
"8552","4995"
"8552","6419"
"8555","4825"
"8555","4298"
"8555","1904"
"8555","1779"
"8568","3223"
"8569","4912"
"8596","3253"
"8612","4168"
"8614","8104"
"8616","1686"
"8619","2256"
"8619","2435"
"8619","4338"
"8621","6430"
"8626","3249"
"8632","4174"
"8637","2268"
"8638","6683"
"8647","2393"
"8647","2387"
"8652","1653"
"8652","2071"
"8658","2226"
"8658","191"
"8658","2215"
"8659","8169"
"9076","8169"
"9078","8169"
"9079","8068"
"9081","3090"
"9081","1593"
"9081","2973"
"9081","1702"
"9081","2062"
"9081","2108"
"9081","4270"
"9081","2093"
"9088","1796"
"9088","1831"
"9064","9964"
"9100","4313"
"9100","165"
"9113","9984"
"9102","4166"
"9112","2045"
"9137","6574"
"9138","4995"
"9139","1578"
"9139","5037"
"9139","6284"
"9118","1747"
"9118","5968"
"9118","9112"
"9119","1653"
"9119","2071"
"9119","8652"
"9280","2948"
"9316","9736"
"9226","9959"
"9323","9628"
"9271","6021"
"9438","9964"
"9415","4635"
"9384","9064"
"9454","9985"
"9482","74"
"9485","2894"
"9549","45"
"9608","9986"
"9608","9987"
"9608","9988"
"9608","9989"
"9608","9990"
"9608","9991"
"9608","9992"
"9608","9993"
"9608","9994"
"9608","9995"
"9608","9996"
"9608","9997"
"9608","9998"
"9578","9999"
"9602","9964"
"9598","9964"
"9598","9315"
"9628","9317"
"9660","9393"
"9732","9963"
"9732","9964"
"9732","9965"
"9732","9966"
"9732","9967"
"9732","9968"
"9732","9969"
"9732","9970"
"9835","9919"
"9882","2915"
"9882","5651"
"9898","9267"
"9926","9267"
